Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2009-10-13 01:40:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,6800 Block of FULTON ST,-122.505091958671,37.77167036510421
2011-11-06 17:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.414029821727,37.7823291237659
2006-03-11 08:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,BAYVIEW,NONE,100 Block of DWIGHT ST,-122.40357439523198,37.7235942995166
2011-01-26 19:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,NORTHERN,NONE,1500 Block of VANNESS AV,-122.422062730264,37.789920001484106
2003-12-14 00:59:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.7692156705894
2010-04-10 15:50:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,MISSION,"ARREST, CITED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2004-07-09 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,MISSION,NONE,POTRERO AV / 16TH ST,-122.407538332327,37.7657827544322
2005-04-20 03:30:00,SEX OFFENSES FORCIBLE,"FORCIBLE RAPE, BODILY FORCE",Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711
2003-07-21 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE,2300 Block of 25TH ST,-122.401853889906,37.752043509951896
2012-03-08 14:55:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,SOUTH VAN NESS AV / MARKET ST,-122.419257894814,37.7751462916539
2009-07-09 10:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2009-09-01 14:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2010-10-19 16:55:00,MISSING PERSON,FOUND PERSON,Tuesday,INGLESIDE,LOCATED,5300 Block of DIAMONDHEIGHTS BL,-122.436266870505,37.7427715592858
2006-08-09 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,JULIAN AV / 15TH ST,-122.421057854839,37.7665987781478
2012-03-08 13:15:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE,10TH ST / HOWARD ST,-122.414370627495,37.7740418385041
2004-01-05 16:04:00,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Monday,TARAVAL,"ARREST, BOOKED",2600 Block of 46TH AV,-122.504223156735,37.737101635092
2009-06-11 01:35:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TENDERLOIN,PSYCHOPATHIC CASE,100 Block of TURK ST,-122.411615075408,37.7831614109395
2004-08-18 02:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,TARAVAL,NONE,700 Block of RANDOLPH ST,-122.469356888345,37.7141960994308
2006-07-30 03:14:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,NORTHERN,"ARREST, BOOKED",BUSH ST / POLK ST,-122.420307355721,37.788698951164704
2015-01-19 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,CAPP ST / ADAIR ST,-122.418636273971,37.76568503855511
2007-03-05 00:55:00,WARRANTS,WARRANT ARREST,Monday,TENDERLOIN,"ARREST, BOOKED",300 Block of TURK ST,-122.414900544562,37.7827419623926
2013-08-05 09:00:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,NORTHERN,NONE,POST ST / FILLMORE ST,-122.433084166837,37.7851499161537
2003-09-17 16:04:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Wednesday,NORTHERN,NONE,400 Block of HAYES ST,-122.42377164009,37.7768378928452
2005-07-27 00:01:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,INGLESIDE,UNFOUNDED,LISBON ST / PERSIA AV,-122.433606605264,37.7220003125315
2007-10-02 13:16:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN,"ARREST, CITED",ELLIS ST / TAYLOR ST,-122.411141948101,37.7850736197499
2007-09-20 00:40:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Thursday,MISSION,"ARREST, BOOKED",SHOTWELL ST / 19TH ST,-122.415929849548,37.7604330003754
2003-11-28 06:30:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TARAVAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,0 Block of HIGUERA AV,-122.48388415814,37.7185965929048
2014-06-14 04:34:00,NON-CRIMINAL,SEARCH WARRANT SERVICE,Saturday,MISSION,NONE,CHURCH ST / 16TH ST,-122.4286681077,37.76450770299471
2007-12-24 17:15:00,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,INGLESIDE,JUVENILE BOOKED,GENEVA AV / SAN JOSE AV,-122.44660721495,37.7207231268789
2010-02-24 10:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED",PALOU AV / PHELPS ST,-122.394663664141,37.7361067444222
2008-04-30 11:20:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED",INGALLS ST / QUESADA AV,-122.38399569989402,37.7291138540107
2006-04-09 23:00:00,ASSAULT,BATTERY,Sunday,MISSION,NONE,18TH ST / DIAMOND ST,-122.437193152373,37.76075843116929
